GeoFips,GeoName,2017,2018,2019,2020,2021,2022
31740,"Manhattan, KS (Metropolitan Statistical Area)",7189918,7104990,6861437,6859746,7097690,7080608
31860,"Mankato, MN (Metropolitan Statistical Area)",5561722,5646562,5622012,5400801,5560800,5643086
31900,"Mansfield, OH (Metropolitan Statistical Area)",4544336,4591106,4596440,4413506,4599067,4582406
32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",20721197,21184628,21796318,21420961,22496207,22818175
32780,"Medford, OR (Metropolitan Statistical Area)",9087979,9236535,9383009,9381689,10014915,10021222
32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",75341736,75977096,76608304,75770941,79423586,79072075
32900,"Merced, CA (Metropolitan Statistical Area)",9136656,9152693,9229029,9094702,9236208,9251611
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",346955899,359852689,365639679,353476756,390532653,409478365
33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",4105788,4231110,4120823,3990212,4197586,4177727
33220,"Midland, MI (Metropolitan Statistical Area)",5482023,5520755,5351030,5689344,5840210,5978041
33260,"Midland, TX (Metropolitan Statistical Area)",21889250,27561089,33733578,31463771,31008685,30539430
33340,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",99281237,100842067,102444804,98378280,102631128,103659777
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",257849094,265734698,269646870,261228949,273794178,277602263
33540,"Missoula, MT (Metropolitan Statistical Area)",5530699,5598430,5759384,5743155,6373555,6517231
33660,"Mobile, AL (Metropolitan Statistical Area)",20576160,20912705,21226460,21415829,22277342,22789935
33700,"Modesto, CA (Metropolitan Statistical Area)",22191928,22810079,23293606,22610630,23527205,23457778
33740,"Monroe, LA (Metropolitan Statistical Area)",8330804,8467890,8203928,7969520,7971955,8113217
33780,"Monroe, MI (Metropolitan Statistical Area)",5999722,5880549,5928026,5597580,5738150,5708370
33860,"Montgomery, AL (Metropolitan Statistical Area)",18161538,18181259,18293634,17873910,18385455,18846094
34060,"Morgantown, WV (Metropolitan Statistical Area)",7846985,7912910,7661637,7593789,7919011,7928137
34100,"Morristown, TN (Metropolitan Statistical Area)",5112106,5072997,5197979,5204264,5553067,5674053
34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",6537005,6635744,6669840,6679499,6730598,6468582
34620,"Muncie, IN (Metropolitan Statistical Area)",4030138,4096420,4128420,4029329,4164411,4319738
34740,"Muskegon, MI (Metropolitan Statistical Area)",5986522,6085095,6118683,5901734,6155453,6229824
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",17915888,18299683,18661012,18942813,20126573,20937663
34900,"Napa, CA (Metropolitan Statistical Area)",10996519,11046992,10987735,10386964,11381396,11316575
34940,"Naples-Marco Island, FL (Metropolitan Statistical Area)",18972217,19603770,20295361,20239264,22806993,23677213
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",130549166,134555744,139494691,138392978,153009022,162594773
35100,"New Bern, NC (Metropolitan Statistical Area)",5397061,5282920,5485766,5334062,5605089,5491723
35300,"New Haven-Milford, CT (Metropolitan Statistical Area)",49698505,50711147,51494190,49996059,52016888,52659909
35380,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",78225064,78131482,79367490,72861022,75211932,73997505
