series_id,2017-Annual,2018-Annual,2019-Annual,2020-Annual,2021-Annual,2022-Annual
ENU4102550010,36655,37079.0,38076,40430,42205,44780
ENU4102750010,38090,40282.0,40747,43783,47597,48412
ENU4102950010,41396,42267.0,44356,48120,51836,54335
ENU4103150010,38001,39820.0,40439,44053,46826,50967
ENU4103350010,35909,37163.0,38593,41622,44133,45684
ENU4103550010,38232,39315.0,40138,43010,45841,48382
ENU4103750010,39075,40065.0,40457,43780,44681,46118
ENU4103950010,42647,43784.0,45201,49519,52570,54576
ENU4104150010,36742,38607.0,39540,42393,46059,48027
ENU4104350010,41556,43882.0,45212,47210,48972,51906
ENU4104550010,35500,36148.0,37815,40591,42570,45170
ENU4104750010,44755,46412.0,48338,52486,55637,57979
ENU4104950010,50210,53078.0,53766,60566,59787,63566
ENU4105150010,57171,59954.0,62064,68070,72497,75307
ENU4105350010,36280,37903.0,39080,42070,45567,47154
ENU4105550010,45646,46715.0,48021,52024,53490,57041
ENU4105750010,38444,39245.0,40780,44600,47151,49208
ENU4105950010,38642,40238.0,41577,45055,47909,50708
ENU4106150010,38095,40831.0,40355,42297,45375,47807
ENU4106350010,34877,36397.0,37252,39646,42334,46216
ENU4106550010,38572,40679.0,41427,45697,50294,51340
ENU4106750010,68162,70306.0,73226,79910,86171,85681
ENU4106950010,29006,29935.0,31022,32055,33100,36090
ENU4107150010,40553,42309.0,43567,46998,49563,52183
ENU4200150010,40504,41728.0,43359,46583,48542,51042
ENU4200350010,58904,60805.0,62666,67686,70997,73144
