Metropolitan Statistical Area,2019Rank,2020Rank,2021Rank
"BuffaloCheektowaga,NY",,203,198
"DaytonKettering,OH",,205,239
"Staunton,VA",,227,348
"BlacksburgChristiansburg,VA",,235,78
"AlbanyLebanon,OR",,238,238
"MilwaukeeWaukesha,WI",,241,224
"SebringAvonPark,FL",,244,293
"ScrantonWilkesBarre,PA",,264,219
"GulfportBiloxi,MS",,272,253
"WausauWeston,WI",,274,315
"HartfordEastHartfordMiddletown,CT",,286,241
"AnnistonOxford,AL",,291,228
"Fairbanks,AK",,313,371
"Anchorage,AK",,326,350
"KingsportBristol,TNVA",,351,240
"CapeGirardeau,MOIL",,,
"St.Joseph,MOKS",,,
